Ahvenanmaa,19.8
Etelä-Karjala,23.5
Etelä-Pohjanmaa,13.8
Etelä-Savo,10.2
Kainuu,3.4
Kanta-Häme,32.6
Keski-Pohjanmaa,13.5
Keski-Suomi,17.1
Kymenlaakso,34.5
Lappi,1.9
Pirkanmaa,41.2
Pohjanmaa,24.2
Pohjois-Karjala,8.6
Pohjois-Pohjanmaa,11.4
Pohjois-Savo,14.3
Päijät-Häme,35.8
Satakunta,27.
Uusimaa,196.
Varsinais-Suomi,46.4
