pistetunnus;sijainti;pvm;suunta;suuntaselite;kaista;jaottelu;ajoneuvoluokka;00_01;01_02;02_03;03_04;04_05;05_06;06_07;07_08;08_09;09_10;10_11;11_12;12_13;13_14;14_15;15_16;16_17;17_18;18_19;19_20;20_21;21_22;22_23;23_24;yhteensa
471;vt3_Tampere_Multisilta;20240130;*;;*;Kaikki;kaikki;176;117;114;118;228;678;2111;3557;3266;2202;1846;1906;2037;2299;2748;4076;4293;3006;2098;1538;1385;937;607;282;41625
471;vt3_Tampere_Multisilta;20240131;*;;*;Kaikki;kaikki;182;144;118;100;182;652;2087;3442;3192;2159;1943;1990;2108;2403;2975;4182;4291;2971;2283;1758;1453;1175;581;283;42654
471;vt3_Tampere_Multisilta;20240201;*;;*;Kaikki;kaikki;200;166;123;104;197;527;1856;3185;3042;2115;1930;2072;2158;2329;2891;4134;4349;3190;2456;1761;1393;1002;581;318;42079
471;vt3_Tampere_Multisilta;20240202;*;;*;Kaikki;kaikki;186;135;106;100;183;537;1793;3168;3015;2336;2202;2611;2784;3286;3998;4934;4925;3876;3204;2054;1667;1200;1075;547;49922
471;vt3_Tampere_Multisilta;20240203;*;;*;Kaikki;kaikki;355;232;190;148;139;207;408;650;1137;1834;2685;3071;3419;3316;3348;3197;2976;2714;2273;1758;1527;987;820;501;37892
471;vt3_Tampere_Multisilta;20240204;*;;*;Kaikki;kaikki;369;243;174;134;124;114;251;343;575;1069;1536;2275;2735;2964;3166;3218;3187;3203;2441;1874;1428;915;498;252;33088
471;vt3_Tampere_Multisilta;20240205;*;;*;Kaikki;kaikki;147;96;95;116;243;763;2168;3478;3088;2106;1918;2047;2159;2271;2745;3964;3992;2682;1116;1490;1268;831;496;311;39590
471;vt3_Tampere_Multisilta;20240206;*;;*;Kaikki;kaikki;170;111;101;100;209;688;2201;3607;2986;2202;1871;1913;2118;2217;2784;4023;4198;2843;2192;1601;1279;896;537;319;41166
471;vt3_Tampere_Multisilta;20240207;*;;*;Kaikki;kaikki;204;113;101;109;191;668;2105;3510;3096;2267;1848;2105;2092;2326;2910;4086;4254;3047;2223;1669;1313;945;609;313;42104
471;vt3_Tampere_Multisilta;20240208;*;;*;Kaikki;kaikki;207;146;107;108;196;639;2001;3330;2985;2221;1818;2014;2195;2395;3050;4305;4301;3225;2482;1835;1421;1010;623;334;42948
471;vt3_Tampere_Multisilta;20240209;*;;*;Kaikki;kaikki;234;159;131;113;215;601;1723;2949;2699;2148;1927;2325;2516;2970;3644;4664;4374;3601;2712;1880;1693;1135;808;567;45788
471;vt3_Tampere_Multisilta;20240210;*;;*;Kaikki;kaikki;374;276;245;170;133;227;408;564;979;1820;2188;3125;3452;3332;3279;3217;3197;2754;2443;1836;1247;895;678;735;37574
471;vt3_Tampere_Multisilta;20240211;*;;*;Kaikki;kaikki;534;285;193;151;120;134;213;301;458;855;1430;2226;2703;2916;3057;3081;3022;2912;2475;1725;1240;892;552;276;31751
471;vt3_Tampere_Multisilta;20240212;*;;*;Kaikki;kaikki;161;123;95;119;266;720;2241;3574;3191;2367;1929;2169;2167;2386;2805;4165;4167;2925;2186;1637;1333;920;554;273;42473
471;vt3_Tampere_Multisilta;20240213;*;;*;Kaikki;kaikki;183;123;125;117;218;689;2263;3709;3319;2351;2065;2180;2244;2378;2892;4346;4565;3311;2295;1694;1404;1189;621;285;44566
471;vt3_Tampere_Multisilta;20240214;*;;*;Kaikki;kaikki;168;123;120;104;217;612;2054;3249;2412;1991;1955;2058;2151;2340;2906;4143;4469;3360;2350;1693;1571;1250;607;363;42266
471;vt3_Tampere_Multisilta;20240215;*;;*;Kaikki;kaikki;176;148;119;121;197;574;1984;3377;3262;2361;2192;2379;2388;2495;3128;4539;4675;3313;2618;1933;1463;1050;697;370;45559
471;vt3_Tampere_Multisilta;20240216;*;;*;Kaikki;kaikki;178;134;111;110;188;557;1734;3012;2677;2234;2182;2386;2661;2943;3627;4349;4114;3427;2753;1853;1575;1210;893;556;45464
471;vt3_Tampere_Multisilta;20240217;*;;*;Kaikki;kaikki;366;241;199;175;164;239;405;549;1021;1785;2264;2879;3425;3371;3406;3222;3105;2426;2209;1676;1469;946;771;562;36875
471;vt3_Tampere_Multisilta;20240218;*;;*;Kaikki;kaikki;435;323;208;152;119;147;239;323;537;1022;1773;2484;3020;3183;3313;3295;3212;3047;2693;1973;1445;877;526;320;34666
471;vt3_Tampere_Multisilta;20240219;*;;*;Kaikki;kaikki;148;103;90;118;236;699;2072;3559;3119;2211;1994;2169;2365;2515;3029;4170;4239;2911;2134;1614;1316;864;530;317;42522
471;vt3_Tampere_Multisilta;20240220;*;;*;Kaikki;kaikki;136;127;123;122;204;652;2146;3708;3247;2255;2048;2192;2305;2486;2993;4434;4343;3062;2236;1720;1311;881;552;274;43557
471;vt3_Tampere_Multisilta;20240221;*;;*;Kaikki;kaikki;178;114;115;125;199;647;2096;3563;3103;2298;2127;2358;2458;2601;3231;4467;4333;3099;2425;1701;1370;946;659;314;44527
